ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.611660122871,0.000833230849821,0.00566488876939,0.0269715823233,0.354870170355
2,0.61477637291,0.000715109985322,0.0486241169274,0.151783958077,0.184100389481
3,0.451383143663,0.00177521840669,0.0170939881355,0.0309271290898,0.498820483685
4,0.702766239643,0.000831881188788,0.00597753282636,0.0970525220037,0.193371832371
5,0.508451879025,0.000822532572784,0.0043450766243,0.240959718823,0.245420768857
6,0.107573412359,0.00144982105121,0.00941567216069,0.826369643211,0.0551914051175
7,0.684775650501,0.00261237006634,0.0455990359187,0.0724896863103,0.194523230195
8,0.883126735687,0.00158505549189,0.00838287267834,0.00397696485743,0.10292840749
9,0.625898838043,0.000739913084544,0.00758095970377,0.0599307529628,0.305849522352
10,0.416178703308,0.000843909976538,0.192351192236,0.218006744981,0.17261941731
11,0.606941103935,0.000886451918632,0.00609993049875,0.0756827145815,0.310389757156
12,0.267215818167,0.00191049603745,0.143513858318,0.123688712716,0.463671177626
13,0.635784804821,0.00102450675331,0.0157812926918,0.233359113336,0.114050336182
14,0.573374807835,0.00101128709503,0.0122404145077,0.0201342795044,0.393239170313
15,0.682072103024,0.00070260616485,0.0293448027223,0.0552095770836,0.232670843601
16,0.681677281857,0.000760759285185,0.00496450765058,0.0755552276969,0.237042203546
17,0.514799714088,0.000918370962609,0.0250753238797,0.274449914694,0.184756621718
18,0.353656291962,0.00106358004268,0.00891967397183,0.322128355503,0.314232081175
19,0.405032873154,0.00168515450787,0.0133856330067,0.299953907728,0.27994248271
20,0.0498109906912,0.00421983329579,0.0288746021688,0.00715992320329,0.909934580326
21,0.24101151526,0.00151492969599,0.0122045474127,0.353983491659,0.391285538673
22,0.00410866597667,0.00831402931362,0.0206987895072,0.00167920289095,0.965199291706
23,0.0515614487231,0.000499238609336,0.0147945834324,0.877319514751,0.0558251738548
24,0.0450001060963,0.00497039966285,0.00871318764985,0.0039579346776,0.937358319759
25,0.797685086727,0.00387540576048,0.00665126601234,0.0549015924335,0.136886656284
