QuoteNumber,QuoteConversion_Flag
3,1.93680625671e-05
5,0.00228213635273
7,1.42912676893e-05
9,1.7963206119e-05
10,0.0390809029341
11,2.42412188527e-05
15,0.00011764291412
16,0.000454908324173
17,1.28850015244e-05
21,8.89717557584e-05
23,0.000241099885898
24,0.512591540813
27,0.000254921120359
31,0.367225170135
33,0.322225779295
34,0.000320991268381
36,0.00103116664104
39,3.34499236487e-05
42,0.0128021258861
43,0.0184297636151
46,0.318280249834
48,0.298735767603
49,0.00632918579504
52,0.000389805238228
54,0.682295620441
55,0.243054807186
56,0.999021887779
58,0.000348210131051
60,4.85151394969e-05
61,0.000821791007183
63,0.971585929394
67,0.0334043614566
68,4.80178532598e-05
69,0.216932967305
75,1.5716699636e-05
81,0.00137433188502
82,0.968388020992
98,0.387966215611
100,0.00105095840991
107,0.742613792419
108,0.998386621475
110,2.35506395256e-05
113,0.000348752510035
115,2.93295452138e-05
116,0.20644056797
119,0.000312674237648
120,0.00251996773295
122,6.30301728961e-05
125,0.995071053505
130,0.00236644363031
132,0.0598927997053
135,0.00337481871247
137,0.000196987151867
138,0.000330808397848
144,0.000566900591366
145,0.72502207756
146,8.8088454504e-05
150,0.00086704979185
155,0.00174245785456
158,0.000413705944084
159,2.81935008388e-05
160,0.002557835076
162,0.14396764338
163,0.00124603777658
164,0.000211686652619
165,8.1463062088e-05
168,0.00476822070777
172,0.000118201882287
173,0.989767253399
174,0.000282278313534
175,2.43130361923e-05
176,0.0267028640956
178,3.07383743348e-05
181,6.55666590319e-05
183,0.00510434946045
190,0.494215935469
198,0.0145746041089
200,5.12092301506e-05
201,0.0046773427166
204,0.0115893082693
205,0.53263604641
207,0.999985456467
210,0.0275691691786
211,0.922437846661
213,0.000126728336909
215,0.0318811871111
218,0.000168332408066
222,3.10818686557e-05
223,0.00317918299697
227,0.95931905508
228,0.000231034107856
231,0.99794536829
238,0.000634018506389
241,8.196534327e-05
245,0.000318227946991
253,0.000432608358096
257,0.921621799469
263,0.00324714230374
264,4.29872670793e-05
265,4.13774432673e-05
274,7.59164904593e-05
275,0.755597710609
276,0.00092857767595
279,0.00435792095959
280,4.73050113214e-06
282,0.00018860999262
283,0.939819931984
285,0.178875923157
289,0.000129551859573
290,0.0121538098902
292,0.00620947917923
294,0.993936002254
301,0.992518186569
304,0.000738600676414
307,0.00119858828839
309,0.0540144070983
310,2.35565257753e-05
311,0.043342564255
312,0.000565268739592
314,0.000631590373814
316,2.36660016526e-05
318,0.999492764473
321,0.00045576467528
326,5.55837286811e-05
330,1.27930125018e-05
331,0.000352736242348
332,0.00256181391887
333,0.00626257481053
337,0.614384829998
338,1.16240471471e-05
339,0.00204334245063
340,4.1154155042e-05
344,0.104572102427
346,0.00749751925468
348,0.00119886070024
349,0.00118310295511
350,0.00144821743015
351,6.39753852738e-05
352,6.24733584118e-05
355,0.000285728165181
358,0.0597434937954
361,3.95999741158e-05
363,0.000182398434845
364,0.996656656265
365,0.000239890796365
366,3.4812004742e-05
367,3.17019002978e-05
368,0.0163441281766
371,0.9319190979
374,0.884269356728
378,0.000136530157761
380,0.000135996917379
382,0.998532295227
385,1.48781418829e-05
390,0.134777739644
393,3.38113350153e-05
401,0.0665291920304
402,1.18843327073e-05
403,0.0727621987462
407,2.63088968495e-05
408,0.114371217787
409,0.0028777087573
410,0.000277106068097
412,1.70387174876e-05
416,0.000476158544188
424,4.65110679215e-05
425,3.6111301597e-05
427,0.0723929703236
430,0.000511007965542
438,1.86673878488e-05
439,0.27738031745
441,0.000339332065778
447,0.993667185307
449,0.999453008175
452,0.199305728078
453,0.000702196091879
457,0.470772743225
464,0.0584438741207
465,0.154525890946
467,0.930181980133
468,2.7830417821e-05
469,0.0050108502619
470,7.51444458729e-05
473,0.000147596059833
474,0.000513108738232
475,0.000313209515298
476,0.00087014719611
479,0.00694419676438
480,0.00487638218328
481,0.00144933059346
484,0.0698959976435
487,3.53549003194e-05
494,0.000500867667142
495,4.03136509703e-05
496,0.000142942895764
498,0.044806946069
500,0.000906319590285
504,3.34648279932e-06
505,0.159813657403
512,0.0665463507175
513,0.000829562311992
516,0.899825692177
519,4.80723792862e-05
525,0.157028257847
527,1.40404854392e-05
530,0.0642086789012
532,0.621266901493
536,0.717028021812
539,6.10480201431e-05
541,3.68255459762e-05
542,5.98493934376e-05
543,0.977176845074
544,0.000767403224017
547,0.0679719075561
551,0.00675552338362
552,0.00105509650894
555,0.615533173084
557,0.000193878819118
563,0.000236166641116
568,2.82855253317e-05
569,0.000449558981927
571,2.38515222009e-05
574,0.000103578371636
575,0.985662519932
580,8.75428086147e-05
581,0.0048788911663
595,0.00218064431101
598,2.45234969043e-05
599,0.00836424622685
600,0.00362941599451
602,0.000128840416437
603,0.000355502823368
609,3.72342788069e-06
611,0.0123785436153
614,0.00690122321248
615,0.000243640664848
620,0.00269394507632
624,0.0305256266147
625,1.00363704405e-05
628,0.00180886662565
633,0.000438270071754
640,0.00108609127346
642,0.656891345978
646,0.915483653545
648,5.58624342375e-05
652,9.73869737209e-06
656,3.76322823286e-05
657,0.143180698156
658,0.00672946916893
659,0.00209726253524
663,0.00302752689458
664,0.0221835132688
668,0.0123033132404
669,5.88297143622e-06
671,0.00548708066344
673,0.999597966671
675,1.63704444276e-05
677,0.00242659100331
684,0.000313758209813
686,0.000450980325695
687,4.89307831231e-06
691,1.31597480504e-05
693,0.00256545841694
694,3.34871401719e-05
695,0.171542495489
696,0.0173383336514
699,0.985807538033
701,0.0553293898702
702,2.60188444372e-05
703,9.33780465857e-05
705,0.000130622356664
706,0.00249540782534
710,0.00178573885933
711,6.07589026913e-05
713,0.000250256882282
717,0.024513348937
718,0.204690814018
720,0.000165690216818
721,1.74404776772e-05
725,0.977389514446
726,0.768752276897
729,0.00285479077138
733,0.16890630126
739,0.614796996117
740,0.00214463565499
744,0.412859290838
745,6.04933120485e-05
750,8.80831721588e-05
753,0.000371936737793
754,0.998655676842
758,0.999901771545
759,0.00682438211516
762,0.000130220912979
764,0.000149114639498
767,8.51226577652e-05
769,0.000367900705896
773,0.921324729919
774,0.00167979544494
777,0.663128852844
778,0.99928611517
779,4.09042513638e-05
785,0.00499439239502
789,0.000397991825594
790,0.0195813328028
791,0.0348268337548
793,0.314870476723
794,0.0493308156729
797,0.000344008643879
798,0.919465482235
799,0.000470650062198
800,0.00340301822871
801,0.0385110229254
807,0.00937325228006
808,0.00185410841368
814,0.181855633855
815,0.617724239826
816,6.61156664137e-05
817,3.98621341446e-06
819,1.07516234493e-05
821,0.00075748458039
822,0.000721833377611
823,8.71420197655e-05
829,2.64466707449e-05
833,4.49074286735e-05
834,1.36190274134e-05
836,0.00575859751552
837,0.989346683025
842,4.11641267419e-05
843,0.00422745477408
846,0.924495518208
847,0.0084015801549
854,1.06796805994e-05
855,0.936183094978
857,0.00106673862319
859,4.62084462924e-05
860,0.00054541224381
861,3.15181096084e-05
862,2.4630326152e-05
867,5.19825443916e-05
868,0.44388884306
870,0.99060857296
872,2.16250973608e-05
875,0.931202888489
878,0.145699098706
879,4.99813577335e-05
881,0.000277082261164
882,3.84999948437e-05
883,0.000342561455909
884,0.000160553317983
885,0.00081813079305
886,0.0118828862906
890,5.64151150684e-06
891,0.000214399420656
898,8.90973660717e-06
899,0.000959613360465
900,0.000710681546479
902,0.0587391033769
903,0.000416157359723
905,4.08272462664e-05
906,0.07628377527
913,0.996598780155
915,9.91602937574e-05
918,1.18102052511e-05
923,0.000173477965291
926,0.000409063737607
928,0.70640617609
929,0.000213647843339
930,0.000228145741858
933,2.71020307991e-05
936,0.996184408665
938,0.000149566185428
944,0.000563807785511
949,0.00681693898514
953,1.95169286599e-05
954,7.10402946424e-06
955,0.0224763620645
956,0.711197495461
957,0.994792044163
960,0.000336105178576
963,0.797423005104
964,0.000597552279942
966,4.49198960268e-05
967,0.000216721280594
972,0.000686432118528
973,6.65334810037e-05
975,0.995717823505
976,0.00572461215779
977,0.00164990557823
979,0.000401041703299
982,0.0455541312695
984,5.51358389203e-05
985,0.00176449399441
995,0.237820520997
996,0.00132865679916
999,5.13683880854e-05
1001,0.00965091027319
1004,0.000173532884219
1005,0.808320105076
1009,0.000206482902286
1010,3.08008784486e-05
1011,0.958106994629
1012,0.0263756010681
1014,0.00016694398073
1015,0.812405049801
1016,0.920817315578
1018,0.0115253180265
1019,0.00778178079054
1020,9.12444193091e-06
1024,4.37091330241e-06
1025,0.999877691269
1028,0.0184182506055
1030,0.000306249508867
1032,0.462960094213
1035,3.76126590709e-05
1037,0.000512344820891
1038,0.999968647957
1042,0.394362032413
1043,0.000113634821901
1053,0.00126056920271
1055,1.68432652572e-05
1057,8.38186533656e-05
1059,0.00013180624228
1061,0.997202634811
1067,0.03011877276
1069,0.991659700871
1073,1.42277895065e-05
1075,1.49542465806e-05
1077,2.84045963781e-05
1078,0.0676231384277
1079,5.11464240844e-05
1080,9.71752524492e-05
1082,0.000420644966653
1083,0.328035086393
1086,0.000117393799883
